AllYrs,CountInds,Sort,SapPlot,corner,PlotID,Northing,Easting,BroaderGroup,Genus,Species,Group,Duration,Taxa4Analysis,Cover2007,Cover2008,Cover2009,Cover2010,Cover2011,Cover2012,Cover2013,Cover2014,Cover2015,Cover2016,Cover2018,Ind2007,Ind2008,Ind2009,Ind2010,Ind2011,Ind2012,Ind2013,Ind2014,Ind2015,Ind2016,Ind2018,Buds2007,Buds2008,Buds2009,Buds2010,Buds2011,Buds2012,Buds2013,Buds2014,Buds2015,Buds2016,Buds2018,Flrs2007,Flrs2008,Flrs2009,Flrs2010,Flrs2011,Flrs2012,Flrs2013,Flrs2014,Flrs2015,Flrs2016,Flrs2018,Frts2007,Frts2008,Frts2009,Frts2010,Frts2011,Frts2012,Frts2013,Frts2014,Frts2015,Frts2016,Frts2018,Densiometer2009,Densiometer2010,Densiometer2011,Densiometer2012,Densiometer2013,Densiometer2014,Densiometer2015,Densiometer2016,Densiometer2018,ResearcherID2007,ResearcherID2008,ResearcherID2009,ResearcherID2010,ResearcherID2011,ResearcherID2012,ResearcherID2013,ResearcherID2014,ResearcherID2015,ResearcherID2016,ResearcherID2018,Day2007,Day2008,Day2009,Day2010,Day2011,Day2012,Day2013,Day2014,Day2015,Day2016,Day2018,Comments2007,Comments2008,Comments2009,Comments2010,Comments2011,Comments2012,Comments2013,Comments2014,Comments2015,Comments2016,Comments2018
y,y,1,1,NE,1NE,29.2,29.2,herb_dicot,Actaea,racemosa,dicot,perennial,Actaea_racemosa,999,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,2,1,NE,1NE,29.2,29.2,fern,Adiantum,sp,,,Adiantum_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,3,1,NE,1NE,29.2,29.2,herb_dicot,Anemone,acutiloba,,,Anemone_acutiloba,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,4,1,NE,1NE,29.2,29.2,herb_dicot,Anemonella,thalictroides,,,Anemonella_thalictroides,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,5,1,NE,1NE,29.2,29.2,fern,Asplenium,sp,,,Asplenium_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,6,1,NE,1NE,29.2,29.2,fern,Botrychium,sp,,,Botrychium_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,7,1,NE,1NE,29.2,29.2,herb_dicot,Cardamine,concatenata,dicot,perennial,Cardamine_concatenata,999,0,0.5,0,0.5,0.5,0,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,0,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,8,1,NE,1NE,29.2,29.2,herb_dicot,Cardamine,diphylla,dicot,perennial,Cardamine_diphylla,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,9,1,NE,1NE,29.2,29.2,herb_dicot,Caulophyllum,thalictroides,,,Caulophyllum_thalictroides,999,12,11,6,20,20,5,16,7,22,18,2,NA,NA,3,4,4,3,5,3,6,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,0,1,0,1,1,1,1,0,1,1,1,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,flowers frost-killed,,,,,,,,,,
y,n,10,1,NE,1NE,29.2,29.2,herb_dicot,Claytonia,caroliniana,dicot,perennial,Claytonia_caroliniana,999,0.5,0,0.5,0,0,0.5,0.5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-99,0,-99,-99,0,0,0,-99,0,0,0,-99,0,-99,-99,0,0,0,-99,1,0,1,-99,0,-99,-99,1,1,1,-99,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
